+---------------------+------------+------+------+
| upload_time         | visitor_id | xoff | w    |
+---------------------+------------+------+------+
| 2015-04-05 19:18:36 |          0 |  120 |   80 | Y
| 2015-04-05 19:20:25 |          1 |  480 |   80 | Y
| 2015-04-05 19:34:48 |          1 |  580 |   60 | Y
| 2015-04-05 19:41:45 |          3 |  480 |   80 | Y
| 2015-04-05 19:42:03 |          3 |  300 |   60 | Y
| 2015-04-05 19:42:14 |          3 |  440 |   80 | -
| 2015-04-05 19:42:19 |          3 |  300 |   80 | -
| 2015-04-05 19:42:21 |          3 |  280 |   80 | -
| 2015-04-05 19:42:24 |          3 |  240 |   80 | -
| 2015-04-05 19:42:28 |          3 |  280 |   60 | -
| 2015-04-05 19:42:33 |          3 |  280 |   80 | -
| 2015-04-05 19:42:35 |          3 |  360 |   80 | -
| 2015-04-05 19:42:44 |          3 |  520 |   60 | N
| 2015-04-05 19:42:44 |          3 |  300 |   80 | Y
| 2015-04-05 19:42:47 |          3 |  300 |   80 | -
| 2015-04-05 19:43:33 |          4 |  580 |   60 | Y
| 2015-04-05 19:44:13 |          5 |  180 |   80 | Y
| 2015-04-05 19:51:02 |          7 |   20 |   80 | Y
| 2015-04-05 20:02:24 |         11 |  100 |   80 | Y
| 2015-04-05 20:15:34 |         13 |  580 |   60 | Y
| 2015-04-05 20:28:58 |         15 |  400 |   60 | Y
| 2015-04-05 20:37:34 |         18 |  100 |   40 | Y
| 2015-04-05 20:43:19 |         20 |  120 |   40 | Y
| 2015-04-05 20:44:40 |         21 |  280 |   60 | Y
| 2015-04-05 20:44:42 |         21 |  340 |   80 | -
| 2015-04-05 20:45:25 |         21 |   20 |   80 | Y
| 2015-04-05 20:45:30 |         21 |   60 |   60 | -
| 2015-04-05 20:45:35 |         21 |   60 |   60 | -
| 2015-04-05 20:45:37 |         21 |  100 |   60 | -
| 2015-04-05 20:47:07 |         23 |  560 |   80 | Y
| 2015-04-05 20:49:04 |         24 |  320 |   80 | Y
| 2015-04-05 20:49:07 |         24 |  320 |   80 | -
| 2015-04-05 20:54:11 |         27 |  320 |   60 | Y
| 2015-04-05 20:54:22 |         27 |  320 |   80 | -
| 2015-04-05 20:55:44 |         29 |  360 |   60 | Y
| 2015-04-05 21:01:25 |         32 |  100 |   60 | Y
| 2015-04-05 21:02:43 |         33 |   80 |   20 | N
| 2015-04-05 21:04:27 |         34 |  220 |   80 | Y
| 2015-04-05 21:08:21 |         36 |   80 |   40 | Y
| 2015-04-05 21:08:21 |         36 |  320 |   80 | Y
| 2015-04-05 21:09:47 |         37 |  340 |   60 | N
| 2015-04-05 21:10:05 |         37 |  540 |   80 | Y
| 2015-04-05 21:10:56 |         38 |  340 |   60 | Y
| 2015-04-05 21:19:25 |         43 |  500 |   60 | Y
| 2015-04-05 21:28:44 |         47 |   60 |   20 | N
| 2015-04-05 21:30:38 |         48 |  380 |   40 | Y
| 2015-04-05 21:30:58 |         48 |  260 |   80 | Y
| 2015-04-05 21:32:15 |         49 |  160 |   60 | Y
| 2015-04-05 21:32:18 |         49 |  480 |   60 | Y
| 2015-04-05 21:34:13 |         50 |  320 |   60 | Y
| 2015-04-05 21:37:02 |         52 |  480 |   60 | Y
| 2015-04-05 21:40:28 |         54 |  100 |   60 | Y
| 2015-04-05 21:40:56 |         54 |  540 |   80 | Y
| 2015-04-05 21:52:25 |         61 |  480 |   60 | Y
| 2015-04-05 21:52:27 |         61 |  380 |   60 | -
| 2015-04-05 21:52:36 |         61 |  320 |   60 | -
| 2015-04-05 21:52:39 |         61 |  160 |   80 | -
| 2015-04-05 21:57:09 |         62 |   80 |   40 | Y
+---------------------+------------+------+------+
