+---------------------+------------+------+------+
| upload_time         | visitor_id | xoff | w    |
+---------------------+------------+------+------+
| 2015-04-05 19:04:18 |         -1 |  280 |  200 | Y
| 2015-04-05 19:04:21 |          0 |  280 |  180 | -
| 2015-04-05 19:06:00 |         -1 |  240 |  200 | Y
| 2015-04-05 19:06:19 |          1 |  380 |  100 | -
| 2015-04-05 19:08:47 |         -1 |   60 |  180 | Y
| 2015-04-05 19:08:50 |         -1 |  220 |  220 | -
| 2015-04-05 19:08:57 |          2 |  420 |  120 | -
| 2015-04-05 19:08:59 |          2 |  440 |  140 | -
| 2015-04-05 19:09:02 |         -1 |  140 |  200 | -
| 2015-04-05 19:09:02 |          2 |  380 |  120 | -
| 2015-04-05 19:09:04 |          2 |  500 |  100 | -
| 2015-04-05 19:09:13 |         -1 |  200 |  240 | -
| 2015-04-05 19:09:18 |         -1 |  240 |  240 | -
| 2015-04-05 19:09:20 |         -1 |  260 |  240 | -
| 2015-04-05 19:09:23 |         -1 |  280 |  260 | -
| 2015-04-05 19:09:25 |         -1 |  120 |  260 | -
| 2015-04-05 19:10:20 |          3 |  480 |  140 | Y
| 2015-04-05 19:12:10 |         -1 |  120 |  100 | Y
| 2015-04-05 19:12:12 |         -1 |   20 |  180 | -
| 2015-04-05 19:12:15 |         -1 |   80 |  240 | -
| 2015-04-05 19:12:17 |         -1 |  440 |  180 | -
| 2015-04-05 19:12:17 |         -1 |  200 |  220 | -
| 2015-04-05 19:12:19 |         -1 |  440 |  180 | -
| 2015-04-05 19:12:20 |         -1 |  200 |  220 | -
| 2015-04-05 19:12:22 |         -1 |  120 |  240 | -
| 2015-04-05 19:12:24 |          4 |  340 |  140 | -
| 2015-04-05 19:12:27 |          4 |  320 |  140 | -
| 2015-04-05 19:12:29 |         -1 |  100 |  260 | -
| 2015-04-05 19:12:32 |         -1 |  160 |  200 | -
| 2015-04-05 19:12:34 |         -1 |  160 |  200 | -
| 2015-04-05 19:12:36 |         -1 |  140 |  220 | -
| 2015-04-05 19:12:53 |          4 |  180 |  140 | -
| 2015-04-05 19:12:55 |          5 |  240 |  100 | -
| 2015-04-05 19:14:38 |         -1 |  500 |  120 | Y
| 2015-04-05 19:14:45 |         -1 |  500 |  120 | -
| 2015-04-05 19:14:50 |         -1 |  480 |  120 | -
| 2015-04-05 19:18:36 |          0 |  120 |   80 | Y
| 2015-04-05 19:18:38 |          0 |  200 |  120 | -
| 2015-04-05 19:18:47 |          0 |  520 |  100 | -
| 2015-04-05 19:20:05 |          1 |  520 |  120 | Y
| 2015-04-05 19:20:25 |          1 |  480 |   80 | -
| 2015-04-05 19:21:04 |         -1 |  260 |  120 | Y
| 2015-04-05 19:21:21 |          2 |  500 |  120 | -
| 2015-04-05 19:21:27 |          2 |  520 |  120 | -
| 2015-04-05 19:34:10 |          0 |  400 |  100 |
| 2015-04-05 19:34:35 |         -1 |  540 |  100 |
| 2015-04-05 19:34:48 |          1 |  580 |   60 |
| 2015-04-05 19:41:01 |          2 |  520 |  100 |
| 2015-04-05 19:41:45 |          3 |  480 |   80 |
| 2015-04-05 19:42:03 |          3 |  300 |   60 |
| 2015-04-05 19:42:10 |          3 |  440 |  100 |
| 2015-04-05 19:42:12 |          3 |  420 |  100 |
| 2015-04-05 19:42:14 |          3 |  440 |   80 |
| 2015-04-05 19:42:19 |          3 |  300 |   80 |
| 2015-04-05 19:42:21 |          3 |  280 |   80 |
| 2015-04-05 19:42:24 |          3 |  240 |   80 |
| 2015-04-05 19:42:28 |          3 |  280 |   60 |
| 2015-04-05 19:42:33 |          3 |  280 |   80 |
| 2015-04-05 19:42:35 |          3 |  360 |   80 |
| 2015-04-05 19:42:40 |         -1 |  520 |  100 |
| 2015-04-05 19:42:44 |          3 |  520 |   60 |
| 2015-04-05 19:42:44 |          3 |  300 |   80 |
| 2015-04-05 19:42:47 |          3 |  300 |   80 |
| 2015-04-05 19:43:33 |          4 |  580 |   60 |
| 2015-04-05 19:44:13 |          5 |  180 |   80 |
| 2015-04-05 19:44:32 |          5 |  460 |  160 |
| 2015-04-05 19:45:00 |          5 |  420 |  160 |
| 2015-04-05 19:45:12 |          5 |  460 |  160 |
| 2015-04-05 19:50:02 |          6 |  400 |  180 |
| 2015-04-05 19:51:02 |          7 |   20 |   80 |
| 2015-04-05 19:51:11 |          7 |  460 |  160 |
| 2015-04-05 19:51:13 |          7 |  460 |  160 |
| 2015-04-05 19:53:08 |          8 |  400 |  160 |
| 2015-04-05 19:53:10 |          8 |  360 |  160 |
| 2015-04-05 19:53:12 |          8 |  380 |  160 |
| 2015-04-05 19:53:15 |          8 |  360 |  160 |
| 2015-04-05 19:53:17 |          8 |  380 |  160 |
| 2015-04-05 19:53:19 |          8 |  360 |  160 |
| 2015-04-05 19:53:22 |          8 |  360 |  160 |
| 2015-04-05 19:55:43 |          9 |  300 |  120 |
| 2015-04-05 20:00:32 |         10 |  220 |  160 |
| 2015-04-05 20:01:12 |         -1 |  440 |  160 |
| 2015-04-05 20:01:14 |         -1 |  460 |  160 |
| 2015-04-05 20:01:17 |         -1 |  440 |  160 |
| 2015-04-05 20:01:19 |         -1 |  440 |  160 |
| 2015-04-05 20:01:26 |         -1 |  440 |  160 |
| 2015-04-05 20:01:28 |         -1 |  460 |  160 |
| 2015-04-05 20:01:30 |         -1 |  460 |  160 |
| 2015-04-05 20:01:33 |         -1 |  440 |  160 |
| 2015-04-05 20:02:24 |         11 |  100 |   80 |
| 2015-04-05 20:04:35 |         -1 |  520 |  100 |
| 2015-04-05 20:05:32 |         12 |  220 |  160 |
| 2015-04-05 20:05:34 |         -1 |  160 |  160 |
| 2015-04-05 20:05:36 |         -1 |  280 |  180 |
| 2015-04-05 20:05:39 |         -1 |  240 |  180 |
| 2015-04-05 20:05:45 |         12 |  340 |  140 |
| 2015-04-05 20:05:52 |         -1 |  220 |  160 |
| 2015-04-05 20:05:57 |         -1 |    0 |  180 |
| 2015-04-05 20:05:59 |         -1 |   40 |  180 |
| 2015-04-05 20:06:02 |         -1 |   20 |  200 |
| 2015-04-05 20:11:01 |         -1 |  280 |  220 |
| 2015-04-05 20:11:03 |         -1 |  280 |  240 |
| 2015-04-05 20:11:05 |         -1 |  200 |  260 |
| 2015-04-05 20:11:08 |         -1 |  200 |  260 |
| 2015-04-05 20:11:10 |         -1 |  220 |  260 |
| 2015-04-05 20:11:12 |         -1 |  180 |  260 |
| 2015-04-05 20:11:15 |         -1 |  180 |  220 |
| 2015-04-05 20:11:17 |         -1 |  160 |  220 |
| 2015-04-05 20:11:19 |         -1 |  160 |  220 |
| 2015-04-05 20:11:22 |         -1 |  140 |  240 |
| 2015-04-05 20:11:24 |         -1 |  160 |  240 |
| 2015-04-05 20:11:26 |         -1 |  160 |  240 |
| 2015-04-05 20:11:29 |         -1 |  160 |  240 |
| 2015-04-05 20:11:31 |         -1 |  180 |  200 |
| 2015-04-05 20:11:34 |         -1 |  180 |  220 |
| 2015-04-05 20:11:36 |         -1 |  180 |  200 |
| 2015-04-05 20:11:36 |         -1 |  520 |  100 |
| 2015-04-05 20:11:39 |         -1 |  460 |  160 |
| 2015-04-05 20:11:39 |         -1 |  160 |  220 |
| 2015-04-05 20:11:41 |         -1 |  460 |  140 |
