+---------------------+------------+------+------+
| upload_time         | visitor_id | xoff | w    |
+---------------------+------------+------+------+
| 2015-04-05 16:26:52 |          0 |   60 |   40 |
| 2015-04-05 16:26:54 |          0 |   60 |   40 |
| 2015-04-05 17:06:23 |          8 |   60 |   40 |
| 2015-04-05 17:43:09 |         10 |  420 |   20 |
| 2015-04-05 17:44:04 |          9 |    0 |   40 |
| 2015-04-05 18:00:14 |          9 |    0 |   20 |
| 2015-04-05 18:08:13 |          9 |  400 |   20 |
| 2015-04-05 18:14:42 |          9 |   80 |   40 |
| 2015-04-05 18:47:09 |         14 |  440 |   40 |
| 2015-04-05 18:51:14 |         15 |  500 |   40 |
| 2015-04-05 18:51:29 |         15 |   80 |   40 |
| 2015-04-05 18:52:04 |         15 |   20 |   40 |
| 2015-04-05 18:53:07 |         15 |    0 |   40 |
| 2015-04-05 18:53:10 |         15 |    0 |   40 |
| 2015-04-05 18:53:29 |         15 |    0 |   40 |
| 2015-04-05 18:56:03 |         15 |  380 |   40 |
| 2015-04-05 18:58:15 |         15 |  120 |   40 |
| 2015-04-05 18:59:10 |         15 |  180 |   40 |
| 2015-04-05 19:00:54 |         15 |    0 |   40 |
| 2015-04-05 19:02:30 |         15 |  520 |   20 |
| 2015-04-05 19:02:32 |         15 |  420 |   20 |
| 2015-04-05 19:22:22 |         19 |  100 |   40 |
| 2015-04-05 19:23:08 |         19 |   40 |   40 |
| 2015-04-05 19:35:07 |         24 |  420 |   40 |
| 2015-04-05 19:35:15 |         24 |  420 |   40 |
| 2015-04-05 19:35:20 |         24 |  420 |   40 |
| 2015-04-05 19:35:40 |         24 |  420 |   40 |
| 2015-04-05 19:35:58 |         24 |  440 |   40 |
| 2015-04-05 19:36:08 |         24 |  420 |   40 |
| 2015-04-05 19:36:15 |         24 |  420 |   40 |
| 2015-04-05 19:36:38 |         24 |  420 |   40 |
| 2015-04-05 19:36:42 |         24 |  420 |   40 |
| 2015-04-05 19:36:48 |         24 |  420 |   40 |
| 2015-04-05 19:37:17 |         24 |  420 |   40 |
| 2015-04-05 19:41:06 |         25 |  160 |   40 |
| 2015-04-05 19:41:48 |         25 |  140 |   40 |
| 2015-04-05 19:41:50 |         25 |  140 |   40 |
| 2015-04-05 19:41:55 |         25 |  160 |   40 |
| 2015-04-05 19:42:43 |         25 |   20 |   40 |
| 2015-04-05 19:43:23 |         25 |   20 |   40 |
| 2015-04-05 19:45:14 |         25 |  500 |   20 |
| 2015-04-05 19:45:19 |         25 |  360 |   40 |
| 2015-04-05 19:50:44 |         25 |  500 |   40 |
| 2015-04-05 19:57:19 |         26 |   20 |   40 |
| 2015-04-05 19:58:26 |         26 |  380 |   20 |
| 2015-04-05 19:58:30 |         26 |  440 |   20 |
| 2015-04-05 20:01:21 |         26 |   40 |   40 |
| 2015-04-05 20:11:17 |         27 |  180 |   40 |
| 2015-04-05 20:11:32 |         27 |  420 |   20 |
| 2015-04-05 20:21:47 |         28 |  520 |   20 |
| 2015-04-05 20:40:28 |         31 |  120 |   40 |
| 2015-04-05 20:40:35 |         31 |  100 |   40 |
| 2015-04-05 20:44:02 |         31 |   80 |   40 |
| 2015-04-05 20:44:41 |         31 |   80 |   40 |
| 2015-04-05 20:45:37 |         31 |   20 |   40 |
| 2015-04-05 20:47:12 |         31 |  120 |   40 |
| 2015-04-05 20:49:02 |         31 |  480 |   20 |
| 2015-04-05 20:50:02 |         31 |  100 |   40 |
| 2015-04-05 20:50:19 |         31 |  140 |   40 |
| 2015-04-05 20:54:20 |         31 |   60 |   40 |
| 2015-04-05 21:02:29 |         31 |  400 |   20 |
| 2015-04-05 21:10:53 |         31 |  440 |   40 |
| 2015-04-05 21:11:43 |         31 |   20 |   40 |
| 2015-04-05 21:11:54 |         31 |   20 |   40 |
| 2015-04-05 21:12:01 |         31 |   20 |   40 |
| 2015-04-05 21:16:02 |         31 |   80 |   40 |
| 2015-04-05 21:16:05 |         31 |   80 |   40 |
| 2015-04-05 21:16:16 |         31 |  100 |   40 |
| 2015-04-05 21:29:56 |         32 |  400 |   40 |
| 2015-04-05 21:34:01 |         32 |  160 |   40 |
| 2015-04-05 21:37:24 |         32 |  140 |   40 |
| 2015-04-05 21:40:40 |         33 |    0 |   40 |
| 2015-04-05 21:40:55 |         34 |  420 |   20 |
| 2015-04-05 21:40:57 |         34 |  420 |   20 |
| 2015-04-05 21:41:03 |         33 |  420 |   20 |
| 2015-04-05 21:52:30 |         35 |  180 |   20 |
| 2015-04-05 21:53:24 |         35 |   80 |   40 |
